OBJECTID,date_,time_value_ms,time_uncertainty,latitude_value,longitude_value,depth_value,magnitude_value_M,quality_associatedPhaseCount,quality_usedPhaseCount,quality_associatedStationCount,quality_usedStationCount,quality_standardError,quality_azimuthalGap,quality_maximumDistance,quality_minimumDistance,quality_medianDistance,Tiempo
48,17/4/16 00:57,971.443.000.000.000.000.000,0.79127521,-0.05834169,-80.202.789.310.000.000,8.377.313.610.000.000,4.084.802.030.000.000,48.000.000.000.000.000,48.000.000.000.000.000,48.000.000.000.000.000,48.000.000.000.000.000,0.7936934,204.294.019.700.000.000,2.491.258.860.000.000,0.20816438,1.886.102.560.000.000,17/4/16 00:57
49,17/4/16 00:59,732.671.000.000.000.000.000,0.61362992,0.32283062,-80.224.548.339.999.800,5.969.406.600.000.000,4.662.755.590.000.000,81.000.000.000.000.000,80.000.000.000.000.000,80.000.000.000.000.000,79.000.000.000.000.000,0.91259397,197.333.320.600.000.000,3.269.943.710.000.000,0.58692586,2.078.772.310.000.000,17/4/16 00:59
50,17/4/16 01:09,270.660.000.000.000.000.000,0.383404,-0.03082332,-80.191.665.650.000.000,7.451.965.810.000.000,4.579.552.970.000.000,97.000.000.000.000.000,97.000.000.000.000.000,93.000.000.000.000.000,93.000.000.000.000.000,3.577.292.000.000.000,174.985.260.000.000.000,4.913.420.200.000.000,0.23602146,1.991.346.360.000.000,17/4/16 01:09
51,17/4/16 01:19,631.433.000.000.000.000.000,0.54658007,-0.13815124,-80.301.651.000.000.000,9.472.524.640.000.000,4.691.003.140.000.000,96.000.000.000.000.000,86.000.000.000.000.000,91.000.000.000.000.000,83.000.000.000.000.000,0.92317126,179.942.535.400.000.000,2.708.395.000.000.000,0.15896066,2.016.188.620.000.000,17/4/16 01:19
52,17/4/16 01:25,309.812.000.000.000.000.000,1.051.913.870.000.000,0.23894852,-80.042.594.910.000.000,6.478.193.760.000.000,3.795.933.050.000.000,45.000.000.000.000.000,41.000.000.000.000.000,45.000.000.000.000.000,41.000.000.000.000.000,0.63202484,223.362.375.300.000.000,2.352.186.680.000.000,0.40922946,1.769.660.590.000.000,17/4/16 01:25
53,17/4/16 01:32,516.152.000.000.000.000.000,0.62543432,-0.08687273,-80.409.912.109.999.800,6.281.113.150.000.000,3.917.634.040.000.000,55.000.000.000.000.000,54.000.000.000.000.000,52.000.000.000.000.000,51.000.000.000.000.000,0.80751089,227.159.988.400.000.000,2.695.005.420.000.000,0.26995093,2.132.561.680.000.000,17/4/16 01:32
54,17/4/16 01:34,555.275.000.000.000.000.000,0.49835574,0.04850098,-80.135.681.149.999.800,7.219.111.920.000.000,3.895.917.970.000.000,77.000.000.000.000.000,76.000.000.000.000.000,73.000.000.000.000.000,73.000.000.000.000.000,0.92275655,191.988.073.300.000.000,2.647.613.290.000.000,0.32254162,1.919.519.420.000.000,17/4/16 01:34
55,17/4/16 01:44,277.064.000.000.000.000.000,1.061.842.720.000.000,-0.0285427,-80.331.542.970.000.000,6.775.292.870.000.000,3.843.013.030.000.000,42.000.000.000.000.000,40.000.000.000.000.000,40.000.000.000.000.000,38.000.000.000.000.000,0.81863931,256.250.213.600.000.000,2.834.398.270.000.000,0.26764321,2.081.618.550.000.000,17/4/16 01:44
56,17/4/16 01:49,967.185.000.000.000.000.000,0.93599902,-0.17831846,-80.677.902.219.999.800,10.000.000.000.000.000,3.763.316.380.000.000,67.000.000.000.000.000,63.000.000.000.000.000,66.000.000.000.000.000,63.000.000.000.000.000,0.85540135,244.142.654.400.000.000,2.926.708.460.000.000,0.47774157,2.313.887.840.000.000,17/4/16 01:49
57,17/4/16 02:00,185.843.000.000.000.000.000,1.291.240.540.000.000,0.28816617,-80.425.979.609.999.800,6.769.252.780.000.000,4.112.890.730.000.000,81.000.000.000.000.000,79.000.000.000.000.000,79.000.000.000.000.000,77.000.000.000.000.000,0.82274503,249.016.868.600.000.000,2.974.843.500.000.000,0.59355038,2.223.845.720.000.000,17/4/16 02:00
