OBJECTID,date_,time_value_ms,time_uncertainty,latitude_value,longitude_value,depth_value,magnitude_value_M,quality_associatedPhaseCount,quality_usedPhaseCount,quality_associatedStationCount,quality_usedStationCount,quality_standardError,quality_azimuthalGap,quality_maximumDistance,quality_minimumDistance,quality_medianDistance,Tiempo
293,21/6/16 14:50,844.568.000.000.000.000.000,0.71946722,-3.920.146.940.000.000,-79.696.334.840.000.000,4.960.390.570.000.000,3.970.154.200.000.000,30.000.000.000.000.000,5.000.000.000.000.000,27.000.000.000.000.000,5.000.000.000.000.000,0.13442445,165.405.426.000.000.000,2.691.336.630.000.000,0.52306944,1.421.609.160.000.000,21/6/16 14:50
294,22/6/16 15:40,436.702.000.000.000.000.000,0.54972354,0.33020172,-80.770.584.110.000.000,10.000.000.000.000.000,4.180.543.030.000.000,40.000.000.000.000.000,37.000.000.000.000.000,35.000.000.000.000.000,32.000.000.000.000.000,1.000.359.980.000.000,244.124.549.900.000.000,3.008.075.000.000.000,0.78973925,2.471.699.720.000.000,22/6/16 15:40
295,24/6/16 09:38,446.492.000.000.000.000.000,0.46787911,0.99016905,-79.681.671.140.000.000,10.000.000.000.000.000,4.131.313.940.000.000,64.000.000.000.000.000,58.000.000.000.000.000,58.000.000.000.000.000,52.000.000.000.000.000,1.086.812.990.000.000,196.518.367.799.999.000,2.775.329.830.000.000,0.35369748,2.064.702.510.000.000,24/6/16 09:38
296,24/6/16 15:44,540.591.000.000.000.000.000,0.36214622,0.9290328,-79.551.948.550.000.000,1.373.843.790.000.000,3.853.109.140.000.000,43.000.000.000.000.000,43.000.000.000.000.000,42.000.000.000.000.000,42.000.000.000.000.000,0.67921868,173.792.282.099.999.000,2.500.682.120.000.000,0.1726217,1.602.543.590.000.000,24/6/16 15:44
297,24/6/16 19:44,359.967.000.000.000.000.000,0.33847114,-0.50380868,-80.396.141.049.999.800,10.222.254.749.999.900,3.698.962.560.000.000,32.000.000.000.000.000,32.000.000.000.000.000,30.000.000.000.000.000,30.000.000.000.000.000,0.83173124,122.430.236.800.000.000,2.173.489.570.000.000,0.12098739,1.821.419.120.000.000,24/6/16 19:44
298,25/6/16 04:55,740.446.000.000.000.000.000,0.27771983,0.90805286,-79.579.566.959.999.800,8.338.736.530.000.000,3.538.033.930.000.000,62.000.000.000.000.000,28.000.000.000.000.000,60.000.000.000.000.000,26.000.000.000.000.000,0.4785559,122.193.366.999.999.000,1.719.306.230.000.000,0.14730561,1.433.833.360.000.000,25/6/16 04:55
299,25/6/16 20:15,484.300.000.000.000.000.000,0.27571418,0.92946535,-79.563.621.519.999.800,3.255.119.800.000.000,3.783.380.850.000.000,54.000.000.000.000.000,51.000.000.000.000.000,51.000.000.000.000.000,48.000.000.000.000.000,0.8061183,130.813.995.400.000.000,2.083.284.620.000.000,0.16094245,1.594.396.590.000.000,25/6/16 20:15
300,25/6/16 21:02,570.459.000.000.000.000.000,0.32167028,0.95688415,-79.559.616.090.000.000,1.682.855.010.000.000,3.786.032.150.000.000,59.000.000.000.000.000,48.000.000.000.000.000,54.000.000.000.000.000,44.000.000.000.000.000,0.61855928,184.147.674.599.998.000,2.103.610.750.000.000,0.16633703,1.598.224.520.000.000,25/6/16 21:02
301,27/6/16 04:15,961.489.000.000.000.000.000,0.65679013,-3.331.134.080.000.000,-80.029.129.030.000.000,26.682.449.340.000.000,4.813.829.430.000.000,51.000.000.000.000.000,51.000.000.000.000.000,51.000.000.000.000.000,51.000.000.000.000.000,1.009.942.000.000.000,183.140.182.500.000.000,3.977.190.260.000.000,0.12636381,2.950.855.020.000.000,27/6/16 04:15
302,28/6/16 21:25,399.302.000.000.000.000.000,1.300.784.820.000.000,-3.069.613.700.000.000,-77.999.511.720.000.000,1.552.368.280.000.000,3.916.749.950.000.000,37.000.000.000.000.000,25.000.000.000.000.000,32.000.000.000.000.000,21.000.000.000.000.000,0.70262717,216.163.589.500.000.000,2.607.955.690.000.000,0.50146198,1.698.430.780.000.000,28/6/16 21:25
303,5/7/2016 11:25,602.146.000.000.000.000.000,0.30020526,0.91060209,-79.547.035.219.999.800,8.608.623.509.999.990,3.982.149.360.000.000,51.000.000.000.000.000,25.000.000.000.000.000,49.000.000.000.000.000,23.000.000.000.000.000,0.6160084,123.824.028.000.000.000,2.643.439.290.000.000,0.17904522,1.336.593.150.000.000,5/7/2016 11:25
304,6/7/2016 6:19,722.992.000.000.000.000.000,0.6833478,0.95825148,-79.556.648.249.999.800,4.385.971.070.000.000,4.837.020.870.000.000,90.000.000.000.000.000,37.000.000.000.000.000,82.000.000.000.000.000,30.000.000.000.000.000,0.68109546,190.184.986.100.000.000,1.882.591.490.000.000,1.046.414.610.000.000,1.461.112.500.000.000,6/7/2016 6:19
305,6/7/2016 6:37,464.471.000.000.000.000.000,0.67773756,0.94953233,-79.521.400.450.000.000,4.568.896.770.000.000,3.593.550.890.000.000,52.000.000.000.000.000,23.000.000.000.000.000,47.000.000.000.000.000,19.000.000.000.000.000,0.6478206,187.440.017.700.000.000,1.858.178.500.000.000,1.045.904.520.000.000,1.363.664.990.000.000,6/7/2016 6:37
306,6/7/2016 11:06,527.025.000.000.000.000.000,0.91490014,0.94058919,-79.544.792.180.000.000,4.297.306.060.000.000,3.629.587.720.000.000,51.000.000.000.000.000,26.000.000.000.000.000,48.000.000.000.000.000,24.000.000.000.000.000,0.6972343,209.493.839.299.999.000,1.928.966.880.000.000,1.031.833.170.000.000,1.576.406.480.000.000,6/7/2016 11:06
307,7/7/2016 3:44,270.863.000.000.000.000.000,0.49184975,0.95836127,-79.443.084.720.000.000,10.000.000.000.000.000,3.879.148.890.000.000,58.000.000.000.000.000,52.000.000.000.000.000,56.000.000.000.000.000,50.000.000.000.000.000,0.82559899,190.964.809.400.000.000,2.820.885.420.000.000,0.95592195,1.731.156.590.000.000,7/7/2016 3:44
308,7/7/2016 10:48,69.365.000.000.000.000.000,0.59077219,0.95681542,-79.455.581.670.000.000,10.000.000.000.000.000,4.281.814.610.000.000,66.000.000.000.000.000,48.000.000.000.000.000,63.000.000.000.000.000,46.000.000.000.000.000,0.7670769,202.255.527.500.000.000,2.047.530.890.000.000,1.070.642.950.000.000,1.706.211.690.000.000,7/7/2016 10:48
309,8/7/2016 3:11,705.453.000.000.000.000.000,0.45482625,0.95234215,-79.481.826.780.000.000,10.000.000.000.000.000,4.110.190.160.000.000,63.000.000.000.000.000,51.000.000.000.000.000,58.000.000.000.000.000,47.000.000.000.000.000,0.88719417,192.905.025.499.999.000,2.797.501.090.000.000,1.058.854.100.000.000,1.726.207.730.000.000,8/7/2016 3:11
310,8/7/2016 4:28,567.067.000.000.000.000.000,0.66181154,-0.38682908,-81.066.909.789.999.800,5.741.291.050.000.000,5.473.284.930.000.000,83.000.000.000.000.000,73.000.000.000.000.000,76.000.000.000.000.000,69.000.000.000.000.000,0.75799286,246.117.225.600.000.000,6.294.313.430.000.000,0.64290601,2.726.378.440.000.000,8/7/2016 4:28
311,8/7/2016 4:32,728.767.000.000.000.000.000,0.73601827,-0.36163989,-81.104.011.540.000.000,2.023.024.560.000.000,3.894.657.780.000.000,41.000.000.000.000.000,37.000.000.000.000.000,36.000.000.000.000.000,33.000.000.000.000.000,0.6407248,240.386.871.300.000.000,4.525.185.110.000.000,0.89499289,2.632.672.310.000.000,8/7/2016 4:32
312,8/7/2016 7:03,618.294.000.000.000.000.000,0.75292181,-0.36894366,-81.090.835.569.999.800,9.060.867.310.000.000,4.602.885.920.000.000,62.000.000.000.000.000,58.000.000.000.000.000,58.000.000.000.000.000,55.000.000.000.000.000,0.80944448,248.173.339.800.000.000,5.772.626.880.000.000,0.67057627,2.735.114.570.000.000,8/7/2016 7:03
313,8/7/2016 7:35,851.438.000.000.000.000.000,0.76265229,-0.36905807,-81.084.182.740.000.000,10.000.000.000.000.000,4.318.485.030.000.000,75.000.000.000.000.000,65.000.000.000.000.000,68.000.000.000.000.000,61.000.000.000.000.000,0.81005506,238.912.162.800.000.000,5.766.399.860.000.000,0.66696912,2.701.437.470.000.000,8/7/2016 7:35
314,8/7/2016 14:28,718.302.000.000.000.000.000,0.84150829,-1.499.355.200.000.000,-81.101.570.129.999.800,10.000.000.000.000.000,3.943.803.080.000.000,63.000.000.000.000.000,52.000.000.000.000.000,59.000.000.000.000.000,49.000.000.000.000.000,1.083.305.950.000.000,217.055.629.299.999.000,3.909.801.010.000.000,0.23728849,2.724.928.140.000.000,8/7/2016 14:28
315,10/7/2016 6:44,61.359.000.000.000.000.000,0.87124027,-0.18248926,-81.058.357.240.000.000,10.000.000.000.000.000,4.667.098.290.000.000,45.000.000.000.000.000,41.000.000.000.000.000,42.000.000.000.000.000,39.000.000.000.000.000,0.64940524,240.187.618.300.000.000,3.271.348.480.000.000,0.81995702,2.615.283.970.000.000,10/7/2016 6:44
316,11/7/2016 2:01,585.289.000.000.000.000.000,0.45903116,0.60083872,-79.884.155.269.999.800,8.672.526.360.000.000,5.902.953.930.000.000,60.000.000.000.000.000,60.000.000.000.000.000,60.000.000.000.000.000,60.000.000.000.000.000,0.93624222,172.978.956.200.000.000,2.536.619.660.000.000,0.34246549,1.916.202.070.000.000,11/7/2016 2:01
317,11/7/2016 2:11,586.541.000.000.000.000.000,0.37991947,0.59049124,-79.769.195.560.000.000,10.084.975.240.000.000,6.216.405.240.000.000,67.000.000.000.000.000,65.000.000.000.000.000,67.000.000.000.000.000,65.000.000.000.000.000,1.092.338.740.000.000,116.278.106.700.000.000,4.231.852.060.000.000,0.2330246,1.896.007.540.000.000,11/7/2016 2:11
318,11/7/2016 7:40,506.252.000.000.000.000.000,0.30278587,0.69625372,-79.702.056.880.000.000,6.104.283.330.000.000,4.342.519.650.000.000,69.000.000.000.000.000,63.000.000.000.000.000,63.000.000.000.000.000,59.000.000.000.000.000,0.88619357,148.857.696.500.000.000,2.862.783.190.000.000,0.15904927,1.812.312.960.000.000,11/7/2016 7:40
319,12/7/2016 18:32,508.787.000.000.000.000.000,0.29756009,0.9550423,-79.528.137.209.999.800,2.370.080.950.000.000,4.433.801.020.000.000,63.000.000.000.000.000,53.000.000.000.000.000,61.000.000.000.000.000,51.000.000.000.000.000,1.084.884.150.000.000,138.109.512.300.000.000,2.657.077.790.000.000,0.19738112,1.702.967.290.000.000,12/7/2016 18:32
320,12/7/2016 18:35,10.534.000.000.000.000.000,0.31687441,0.96779072,-79.547.142.030.000.000,5.000.000.000.000.000,3.961.865.030.000.000,65.000.000.000.000.000,52.000.000.000.000.000,61.000.000.000.000.000,48.000.000.000.000.000,1.572.508.650.000.000,166.002.914.400.000.000,2.676.241.640.000.000,0.18036592,1.807.735.090.000.000,12/7/2016 18:35
321,12/7/2016 18:54,112.366.000.000.000.000.000,0.38014246,0.96796805,-79.528.335.569.999.800,2.223.075.150.000.000,3.678.881.640.000.000,47.000.000.000.000.000,39.000.000.000.000.000,45.000.000.000.000.000,37.000.000.000.000.000,0.75103923,186.382.141.100.000.000,2.062.937.980.000.000,0.19891281,1.573.265.430.000.000,12/7/2016 18:54
322,13/7/16 17:54,56.574.000.000.000.000.000,0.44297814,0.93941385,-79.546.234.130.000.000,5.000.000.000.000.000,3.842.303.150.000.000,40.000.000.000.000.000,39.000.000.000.000.000,36.000.000.000.000.000,35.000.000.000.000.000,0.99097657,209.968.955.999.999.000,2.667.313.810.000.000,0.27661115,1.464.415.310.000.000,13/7/16 17:54
323,14/7/16 08:40,148.194.000.000.000.000.000,1.436.196.610.000.000,-0.65317309,-80.952.590.939.999.800,10.000.000.000.000.000,4.191.729.750.000.000,51.000.000.000.000.000,38.000.000.000.000.000,50.000.000.000.000.000,37.000.000.000.000.000,0.87746623,267.233.463.299.999.000,4.555.840.970.000.000,1.311.980.370.000.000,2.604.082.580.000.000,14/7/16 08:40
324,14/7/16 08:43,809.847.000.000.000.000.000,1.307.457.960.000.000,-0.5558778,-81.270.240.779.999.800,10.000.000.000.000.000,3.592.488.090.000.000,50.000.000.000.000.000,39.000.000.000.000.000,48.000.000.000.000.000,38.000.000.000.000.000,0.90034452,242.516.841.900.000.000,4.777.056.690.000.000,0.72858208,2.944.610.120.000.000,14/7/16 08:43
325,14/7/16 16:37,561.074.000.000.000.000.000,0.39180239,1.230.548.020.000.000,-80.037.460.330.000.000,10.000.000.000.000.000,4.670.853.450.000.000,44.000.000.000.000.000,44.000.000.000.000.000,39.000.000.000.000.000,39.000.000.000.000.000,1.114.524.320.000.000,136.710.968.000.000.000,4.397.108.560.000.000,0.42929703,2.362.314.700.000.000,14/7/16 16:37
326,14/7/16 18:11,412.117.000.000.000.000.000,0.30171164,-0.96678436,-80.618.972.780.000.000,4.441.591.740.000.000,4.035.703.790.000.000,43.000.000.000.000.000,37.000.000.000.000.000,42.000.000.000.000.000,36.000.000.000.000.000,0.85672519,141.115.125.699.999.000,2.744.709.970.000.000,0.13889469,2.202.575.440.000.000,14/7/16 18:11
327,15/7/16 07:32,49.964.000.000.000.000.000,0.71862904,-0.63616729,-81.189.102.169.999.800,10.000.000.000.000.000,4.461.964.100.000.000,49.000.000.000.000.000,49.000.000.000.000.000,45.000.000.000.000.000,45.000.000.000.000.000,0.98823986,254.530.677.800.000.000,4.669.723.510.000.000,0.61948645,2.774.867.300.000.000,15/7/16 07:32
328,15/7/16 11:17,344.336.000.000.000.000.000,1.011.994.550.000.000,0.34411857,-80.247.734.070.000.000,10.128.435.130.000.000,4.538.322.580.000.000,50.000.000.000.000.000,50.000.000.000.000.000,47.000.000.000.000.000,47.000.000.000.000.000,0.93528786,248.490.421.300.000.000,3.888.891.220.000.000,0.76821095,2.179.600.000.000.000,15/7/16 11:17
329,15/7/16 20:50,537.474.000.000.000.000.000,0.39456583,0.61631382,-79.878.723.140.000.000,9.395.360.950.000.000,3.610.777.330.000.000,62.000.000.000.000.000,51.000.000.000.000.000,59.000.000.000.000.000,48.000.000.000.000.000,0.79492799,177.090.946.199.999.000,2.414.058.920.000.000,0.33473766,1.819.720.390.000.000,15/7/16 20:50
330,17/7/16 11:57,648.927.000.000.000.000.000,0.57261949,-3.070.296.530.000.000,-80.128.349.299.999.800,10.000.000.000.000.000,4.186.094.390.000.000,38.000.000.000.000.000,38.000.000.000.000.000,36.000.000.000.000.000,36.000.000.000.000.000,1.010.997.650.000.000,181.076.736.500.000.000,5.820.827.960.000.000,0.3065111,2.338.667.150.000.000,17/7/16 11:57
331,17/7/16 14:43,214.749.000.000.000.000.000,0.81910628,-0.62808359,-81.178.764.340.000.000,10.000.000.000.000.000,3.727.155.850.000.000,36.000.000.000.000.000,32.000.000.000.000.000,32.000.000.000.000.000,28.000.000.000.000.000,0.98826776,258.023.513.799.999.000,3.263.385.770.000.000,0.63854003,2.691.482.070.000.000,17/7/16 14:43
332,17/7/16 18:24,809.008.000.000.000.000.000,0.44474917,0.86066383,-79.508.491.520.000.000,10.000.000.000.000.000,3.547.952.850.000.000,37.000.000.000.000.000,34.000.000.000.000.000,34.000.000.000.000.000,33.000.000.000.000.000,0.99004875,182.044.735.000.000.000,2.019.698.140.000.000,0.93855911,1.543.732.410.000.000,17/7/16 18:24
333,18/7/16 12:00,712.489.000.000.000.000.000,0.48571398,0.95141131,-79.455.574.040.000.000,10.000.000.000.000.000,4.538.612.120.000.000,53.000.000.000.000.000,46.000.000.000.000.000,52.000.000.000.000.000,45.000.000.000.000.000,0.9611094,183.055.919.600.000.000,2.729.824.070.000.000,0.95973068,1.744.070.530.000.000,18/7/16 12:00
334,19/7/16 01:52,984.512.000.000.000.000.000,0.42364092,-0.92360854,-80.693.191.530.000.000,10.000.000.000.000.000,3.882.361.310.000.000,41.000.000.000.000.000,41.000.000.000.000.000,41.000.000.000.000.000,41.000.000.000.000.000,1.185.519.620.000.000,168.141.635.900.000.000,4.520.339.010.000.000,0.13328178,2.310.071.230.000.000,19/7/16 01:52
335,19/7/16 09:14,260.401.000.000.000.000.000,0.44206471,0.95640707,-79.492.172.240.000.000,10.000.000.000.000.000,3.831.520.870.000.000,51.000.000.000.000.000,51.000.000.000.000.000,50.000.000.000.000.000,50.000.000.000.000.000,1.447.854.010.000.000,190.450.252.500.000.000,5.791.759.490.000.000,0.98930228,1.827.315.450.000.000,19/7/16 09:14
336,20/7/16 01:20,637.880.000.000.000.000.000,0.38986217,-0.87107122,-80.684.806.820.000.000,11.614.984.509.999.900,5.041.179.610.000.000,82.000.000.000.000.000,55.000.000.000.000.000,78.000.000.000.000.000,51.000.000.000.000.000,0.85993389,163.003.608.700.000.000,2.730.144.740.000.000,0.08534604,2.230.217.930.000.000,20/7/16 01:20
337,20/7/16 08:47,591.055.000.000.000.000.000,0.3323489,-0.81074119,-80.482.810.970.000.000,10.000.000.000.000.000,3.884.430.020.000.000,44.000.000.000.000.000,41.000.000.000.000.000,43.000.000.000.000.000,40.000.000.000.000.000,1.022.775.330.000.000,182.727.939.600.000.000,3.338.638.540.000.000,0.74155158,2.136.974.100.000.000,20/7/16 08:47
338,20/7/16 13:51,199.329.000.000.000.000.000,0.50895832,-0.86750478,-80.726.440.429.999.800,10.000.000.000.000.000,4.418.596.910.000.000,44.000.000.000.000.000,44.000.000.000.000.000,43.000.000.000.000.000,43.000.000.000.000.000,1.062.186.880.000.000,179.492.381.999.999.000,3.249.701.500.000.000,0.18431322,2.356.065.030.000.000,20/7/16 13:51
339,21/7/16 11:57,15.252.000.000.000.000.000,0.25992003,-0.98577112,-80.655.319.210.000.000,10.000.000.000.000.000,4.972.267.590.000.000,53.000.000.000.000.000,46.000.000.000.000.000,52.000.000.000.000.000,45.000.000.000.000.000,1.091.667.780.000.000,116.862.167.400.000.000,3.507.639.170.000.000,0.09091028,2.255.193.950.000.000,21/7/16 11:57
340,21/7/16 16:43,69.807.000.000.000.000.000,0.46380194,-0.85706151,-80.699.646.000.000.000,10.000.000.000.000.000,4.185.039.470.000.000,47.000.000.000.000.000,47.000.000.000.000.000,47.000.000.000.000.000,47.000.000.000.000.000,1.214.462.040.000.000,177.111.225.100.000.000,4.482.801.910.000.000,0.19677438,2.314.213.040.000.000,21/7/16 16:43
341,22/7/16 06:31,886.399.000.000.000.000.000,0.42072751,-0.22137733,-80.651.901.249.999.800,10.000.000.000.000.000,4.291.241.050.000.000,55.000.000.000.000.000,51.000.000.000.000.000,51.000.000.000.000.000,47.000.000.000.000.000,0.95771978,224.225.212.099.999.000,3.342.548.130.000.000,0.27697939,2.254.233.600.000.000,22/7/16 06:31
342,22/7/16 14:39,944.310.000.000.000.000.000,0.59157281,0.91932374,-79.465.530.400.000.000,10.000.000.000.000.000,3.514.425.640.000.000,37.000.000.000.000.000,31.000.000.000.000.000,34.000.000.000.000.000,31.000.000.000.000.000,1.002.967.620.000.000,232.903.900.099.998.000,2.600.136.760.000.000,0.94460505,1.585.974.220.000.000,22/7/16 14:39
343,23/7/16 23:39,243.966.000.000.000.000.000,0.47617016,1.068.053.600.000.000,-79.588.241.580.000.000,5.000.000.000.000.000,3.509.836.040.000.000,53.000.000.000.000.000,48.000.000.000.000.000,49.000.000.000.000.000,44.000.000.000.000.000,0.84828098,190.699.501.000.000.000,2.750.125.890.000.000,0.52576613,1.895.922.070.000.000,23/7/16 23:39
344,25/7/16 06:57,280.838.000.000.000.000.000,0.23411411,-2.706.397.290.000.000,-79.884.025.570.000.000,3.698.666.570.000.000,3.714.274.910.000.000,49.000.000.000.000.000,43.000.000.000.000.000,44.000.000.000.000.000,39.000.000.000.000.000,1.065.028.910.000.000,95.605.209.349.999.800,3.552.608.010.000.000,0.45818421,1.906.944.390.000.000,25/7/16 06:57
345,27/7/16 22:06,410.831.000.000.000.000.000,0.36923566,0.76791728,-79.789.802.550.000.000,7.949.201.580.000.000,3.685.903.760.000.000,52.000.000.000.000.000,44.000.000.000.000.000,49.000.000.000.000.000,42.000.000.000.000.000,0.8884683,115.496.856.700.000.000,2.830.823.660.000.000,0.17802291,1.853.333.470.000.000,27/7/16 22:06
346,30/7/16 01:30,626.793.000.000.000.000.000,0.36578041,0.23024899,-80.012.298.580.000.000,4.382.695.200.000.000,4.209.982.750.000.000,69.000.000.000.000.000,61.000.000.000.000.000,68.000.000.000.000.000,60.000.000.000.000.000,0.94593975,142.515.182.500.000.000,2.441.943.640.000.000,0.38323045,1.813.763.740.000.000,30/7/16 01:30
347,3/8/2016 3:38,701.765.000.000.000.000.000,0.63390522,0.72214842,-80.227.165.220.000.000,5.893.608.090.000.000,3.745.728.450.000.000,73.000.000.000.000.000,70.000.000.000.000.000,68.000.000.000.000.000,66.000.000.000.000.000,0.91241228,236.844.299.299.998.000,3.312.009.100.000.000,0.2054261,2.225.236.180.000.000,3/8/2016 3:38
348,3/8/2016 9:36,122.267.000.000.000.000.000,0.28642713,-1.200.483.920.000.000,-80.934.059.140.000.000,4.529.289.720.000.000,3.574.325.440.000.000,44.000.000.000.000.000,33.000.000.000.000.000,41.000.000.000.000.000,30.000.000.000.000.000,0.68758343,145.718.482.999.999.000,3.139.473.680.000.000,0.15231183,2.481.410.030.000.000,3/8/2016 9:36
349,5/8/2016 7:23,34.226.000.000.000.000.000,0.34056281,-1.908.649.210.000.000,-77.600.349.429.999.800,10.000.000.000.000.000,4.018.474.400.000.000,78.000.000.000.000.000,68.000.000.000.000.000,72.000.000.000.000.000,63.000.000.000.000.000,0.92652492,199.994.225.000.000.000,3.315.187.220.000.000,0.5881868,1.512.851.950.000.000,5/8/2016 7:23
350,5/8/2016 22:56,366.188.000.000.000.000.000,0.45489079,-1.913.236.020.000.000,-78.990.432.740.000.000,99.358.619.689.999.800,3.501.354.100.000.000,41.000.000.000.000.000,33.000.000.000.000.000,40.000.000.000.000.000,32.000.000.000.000.000,0.60642613,55.585.052.490.000.000,2.623.076.440.000.000,0.41618624,1.325.539.590.000.000,5/8/2016 22:56
351,6/8/2016 16:37,905.751.000.000.000.000.000,0.32320566,0.88391978,-79.637.199.400.000.000,10.000.000.000.000.000,3.914.226.150.000.000,60.000.000.000.000.000,26.000.000.000.000.000,57.000.000.000.000.000,24.000.000.000.000.000,0.84958777,148.173.072.800.000.000,1.756.474.970.000.000,0.23917961,1.421.780.710.000.000,6/8/2016 16:37
352,6/8/2016 16:44,300.896.000.000.000.000.000,0.38047515,0.91500932,-79.581.367.490.000.000,3.583.326.340.000.000,3.764.301.430.000.000,48.000.000.000.000.000,31.000.000.000.000.000,48.000.000.000.000.000,31.000.000.000.000.000,0.47089753,167.525.177.000.000.000,1.872.202.400.000.000,0.14444028,1.443.611.380.000.000,6/8/2016 16:44
353,9/8/2016 4:23,739.362.000.000.000.000.000,0.10414536,-0.14631629,-78.366.310.119.999.800,6.393.641.470.000.000,4.646.518.200.000.000,125.000.000.000.000.000,113.000.000.000.000.000,120.000.000.000.000.000,109.000.000.000.000.000,0.61870124,51.014.236.449.999.800,4.485.189.440.000.000,0.07331063,0.61891699,9/8/2016 4:23
354,10/8/2016 4:35,825.607.000.000.000.000.000,0.83831549,-1.719.723.100.000.000,-77.760.459.900.000.000,2.680.498.120.000.000,3.520.341.530.000.000,54.000.000.000.000.000,49.000.000.000.000.000,49.000.000.000.000.000,44.000.000.000.000.000,0.88357576,194.046.412.500.000.000,2.933.629.750.000.000,0.34726644,1.215.494.390.000.000,10/8/2016 4:35
355,14/8/16 15:31,216.308.000.000.000.000.000,0.14397549,-0.14140087,-78.363.235.470.000.000,7.031.580.450.000.000,3.727.075.900.000.000,79.000.000.000.000.000,73.000.000.000.000.000,76.000.000.000.000.000,70.000.000.000.000.000,0.54924328,51.281.219.479.999.800,2.929.807.660.000.000,0.06873663,0.54859245,14/8/16 15:31
356,15/8/16 19:03,63.548.000.000.000.000.000,0.24982789,-2.838.792.090.000.000,-79.701.934.809.999.800,13.846.544.270.000.000,3.939.039.100.000.000,45.000.000.000.000.000,38.000.000.000.000.000,42.000.000.000.000.000,36.000.000.000.000.000,0.90517325,79.856.292.719.999.900,2.929.289.580.000.000,0.43658867,1.866.060.140.000.000,15/8/16 19:03
357,22/8/16 09:05,221.457.000.000.000.000.000,0.50793074,-0.16996382,-80.766.502.380.000.000,10.000.000.000.000.000,4.116.410.040.000.000,52.000.000.000.000.000,42.000.000.000.000.000,49.000.000.000.000.000,39.000.000.000.000.000,0.83591694,202.112.266.500.000.000,3.427.360.300.000.000,0.99691385,2.414.046.290.000.000,22/8/16 09:05
358,22/8/16 09:11,90.909.000.000.000.000.000,0.78529277,-0.17987959,-80.797.645.570.000.000,10.000.000.000.000.000,3.741.233.530.000.000,39.000.000.000.000.000,35.000.000.000.000.000,39.000.000.000.000.000,35.000.000.000.000.000,0.82230591,204.386.829.400.000.000,3.322.700.500.000.000,1.028.890.490.000.000,2.430.306.430.000.000,22/8/16 09:11
359,22/8/16 16:31,989.089.000.000.000.000.000,0.27530294,-0.91733152,-80.591.285.709.999.800,8.641.674.040.000.000,3.800.888.770.000.000,37.000.000.000.000.000,29.000.000.000.000.000,35.000.000.000.000.000,27.000.000.000.000.000,0.81396147,142.528.228.799.999.000,3.161.409.140.000.000,0.19220263,2.102.348.800.000.000,22/8/16 16:31
360,23/8/16 12:54,933.403.000.000.000.000.000,0.29314682,-1.910.372.620.000.000,-80.289.077.759.999.800,6.712.157.730.000.000,4.612.966.700.000.000,60.000.000.000.000.000,57.000.000.000.000.000,54.000.000.000.000.000,51.000.000.000.000.000,0.82020421,122.905.975.299.999.000,3.169.680.360.000.000,0.45905468,2.141.452.790.000.000,23/8/16 12:54
361,26/8/16 04:25,49.347.000.000.000.000.000,0.16938158,-0.94700378,-80.540.878.300.000.000,8.137.809.750.000.000,5.117.674.380.000.000,95.000.000.000.000.000,70.000.000.000.000.000,91.000.000.000.000.000,66.000.000.000.000.000,1.083.510.760.000.000,99.596.282.009.999.800,2.573.206.900.000.000,0.19374913,2.093.205.690.000.000,26/8/16 04:25
362,27/8/16 13:46,144.517.000.000.000.000.000,0.5725183,-1.620.424.870.000.000,-77.873.008.729.999.800,10.000.000.000.000.000,3.688.895.270.000.000,53.000.000.000.000.000,40.000.000.000.000.000,50.000.000.000.000.000,40.000.000.000.000.000,0.56599556,184.824.197.800.000.000,2.454.567.670.000.000,0.59342802,1.107.017.280.000.000,27/8/16 13:46
